task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
TwoRoom,3073,0.08,0.08,9101,100,8,0.1321221251210847,1.7037322521209717,12.895132064819336,0.9836065173149109,0.7477059364318848,16.525049209594727,16.02686882019043,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.0,0.08,9101,100,8,1.4947153046014692,21.129215240478516,14.135946273803711,0.4098360538482666,16.404375076293945,15.475909233093262,-1.390131950378418,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.01,0.08,9101,100,8,1.1131421031913513,15.768158912658691,14.165450096130371,0.7704917788505554,8.724719047546387,15.902660369873047,6.06801700592041,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.02,0.08,9101,100,8,0.527574942818781,7.4571099281311035,14.134693145751953,0.8852458596229553,3.811412811279297,15.670028686523438,11.24194622039795,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.03,0.08,9101,100,8,0.31023774003220617,4.396345138549805,14.170890808105469,0.9344261884689331,2.489154815673828,15.80446720123291,12.8611478805542,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.04,0.08,9101,100,8,0.20471947941948562,2.8430323600769043,13.88745403289795,0.9999999403953552,1.2643591165542603,15.968753814697266,13.959830284118652,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.05,0.08,9101,100,8,0.18338815425774974,2.451815128326416,13.369539260864258,0.9999999403953552,1.1704319715499878,16.305835723876953,14.51102066040039,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.06,0.08,9101,100,8,0.10773770150558551,1.5415016412734985,14.307912826538086,0.9836065173149109,0.7459681630134583,15.647661209106445,14.861209869384766,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.07,0.08,9101,100,8,0.1168179124558464,1.568643569946289,13.428108215332031,0.9836065173149109,0.839363157749176,15.522727012634277,14.27995777130127,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
TwoRoom,3074,0.08,0.08,9101,100,8,0.1080286071798046,1.4567373991012573,13.484737396240234,0.9836065173149109,0.6617761254310608,15.506891250610352,14.987125396728516,61,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.0,0.08,9101,100,8,3.4252009231417477,20.373199462890625,5.948030471801758,0.4285714328289032,18.202964782714844,17.375560760498047,-0.8763599395751953,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.01,0.08,9101,100,8,2.0975276746126346,12.114895820617676,5.7757978439331055,0.9285714030265808,7.519920349121094,17.685935974121094,8.406012535095215,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3072,0.02,0.08,9101,100,8,1.078168166445085,6.307812690734863,5.850490570068359,0.9693877100944519,3.6116323471069336,17.501407623291016,12.639883041381836,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
