task,rho,n_training_seeds,clean_eval_score_mean,clean_eval_score_pstdev,obs_sigma_008_score_mean,obs_sigma_008_score_pstdev,recovery_label_rate,atr_normalized_q90_mean,atr_normalized_q90_pstdev,smpr_delta0_mean,smpr_delta0_pstdev,proxy_gap_q50q90_mean,proxy_gap_q50q90_pstdev,proxy_gap_positive_rate,top1_agree_mean,top1_agree_pstdev,cert_pass_rate_mean,notes
TwoRoom,0.00,3,94.66666666666667,0.72008250556092,68.77777788888889,2.4545248012599146,0.0,1.0,0.0,0.33879779775937396,0.05067551476777314,-266.5171432495117,16.944883959830126,0.0,0.20666666825612387,0.0385861136723444,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.01,3,94.88888888888889,1.0999437134870003,93.44444466666667,2.078698518512057,0.6666666666666666,0.7436024536691458,0.04306844329823309,0.7213114301363627,0.058344692921846325,-70.28016408284505,33.593062808955494,0.0,0.5100000003973643,0.04546061256189082,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.02,3,95.77777766666667,1.0999437247108985,95.44444444444444,1.5713486383390423,1.0,0.3239767104025143,0.036556185360896505,0.9125682711601257,0.020446217404506035,34.927605946858726,6.346174547993232,1.0,0.763333335518837,0.01699672719206236,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.03,3,95.11111111111111,0.8748898061125053,95.111111,1.3425607281020855,1.0,0.22328678763781176,0.020884580156092094,0.9508196115493774,0.01338517389488447,55.666395823160805,14.082061907000242,1.0,0.8499999990065893,0.01414213618568893,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.04,3,95.88888877777778,0.41573985812002,95.88888888888889,0.5665577891046413,1.0,0.13633371188194154,0.01022631574831122,0.9836064974466959,0.023183829351983508,60.2847703297933,4.092402816895705,1.0,0.9066666687528292,0.026246690907376382,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.05,3,96.111111,1.498970972136776,95.88888877777778,1.547598809147288,1.0,0.10683061251706169,0.011243753746532916,0.9945354660352071,0.007727933751361501,67.59381357828777,4.4603404970696765,1.0,0.940000000099341,0.008164965626776101,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.06,3,96.00000022222223,1.6996731276162385,95.77777777777777,1.5475984342135751,1.0,0.08236031935991894,0.008753278985973374,0.9945354660352071,0.007727933751361501,65.3524211247762,6.903688676541104,1.0,0.9466666666169962,0.004714044224483851,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.07,3,96.44444433333334,0.6285392039198668,96.44444455555556,0.3142697590948061,1.0,0.07657402255819906,0.0037955254451549256,0.989070991675059,0.007727933751361501,57.50000445048014,4.501008424235315,1.0,0.9366666662196318,0.00942809020508639,,cert_pass_rate unavailable without sample-level max-cost-drift traces
TwoRoom,0.08,3,97.22222211111111,0.8314795380658779,97.11111088888889,0.5665578326859542,1.0,0.07368676367528113,0.010404911654728156,0.989070991675059,0.007727933751361501,53.45847415924072,2.21286946685463,1.0,0.960000000273188,0.008164966387197763,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.00,3,81.77777777777777,4.886362983843559,7.222222111111111,5.8139889347446605,0.0,1.0,0.0,0.43877550462881726,0.17095009086174295,-198.43529764811197,86.87910520247108,0.0,0.10999999443689983,0.08286537430580108,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.01,3,85.888889,1.4989707497619815,37.888888888888886,12.368817654603836,0.0,0.7266612060075552,0.09479926408263702,0.8299319346745809,0.08830446179209724,-28.895713806152344,46.65582627190529,0.3333333333333333,0.5833333333333334,0.14383632999582777,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.02,3,87.33333344444445,0.7200821969542021,62.66666655555556,11.98455791301333,0.3333333333333333,0.42861894634328895,0.149390178545461,0.9557822942733765,0.03468721051770516,38.947916666666664,44.315389576723746,0.6666666666666666,0.823333332935969,0.11614167822118167,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.03,3,89.6666668888889,1.571348398669499e-07,82.44444466666667,1.6629588682618972,1.0,0.18503441020941394,0.004233048490494942,0.9965986410776774,0.0048102479184473435,106.96358489990234,7.676432405822333,1.0,0.9366666668405136,0.028674418503758327,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.04,3,89.11111111111111,0.8314794192830977,86.55555555555556,0.15713507596600043,1.0,0.12920048678341964,0.016405316693870423,0.9965986410776774,0.0048102479184473435,115.57609621683757,3.6215017231327473,1.0,0.933333333581686,0.004714045980602539,,cert_pass_rate unavailable without sample-level max-cost-drift traces
PushT,0.05,3,83.9999998888889,3.030707068215823,81.11111111111111,3.034777633361411,0.6666666666666666,0.13354866640369312,0.02261272739181692,1.0,0.0,98.57863680521648,6.064939033206791,1.0,0.9366666674613953,0.012472190346720811,,cert_pass_rate unavailable without sample-level max-cost-drift traces
