task,rho,n_training_seeds,recovery_label_rate,obs_sigma_008_score_mean,cert_pass_rate_mean,cert_pass_rate_pstdev,top1_flip_rate_mean,top1_flip_rate_pstdev,gap_q10_q95_mean,gap_q10_q95_pstdev,gap_q50_q95_mean,gap_q50_q95_pstdev,max_drift_q95_mean,clean_margin_q10_mean,candidate_count_mean
TwoRoom,0.00,3,0.0,68.77777788888889,0.05333333338300387,0.004714044224483851,0.8033333222071329,0.02494438533969661,-1084.6281830469768,43.98275574936017,-975.8979034423828,38.9068966815765,550.1383056640625,15.648428281148275,65.0
TwoRoom,0.01,3,0.6666666666666666,93.44444466666667,0.21333332856496176,0.03299831308362434,0.40666666626930237,0.06944222891982171,-774.616987546285,76.78988870626675,-661.2278823852539,69.30696844309776,393.2183329264323,11.81967830657959,65.0
TwoRoom,0.02,3,1.0,95.44444444444444,0.4633333384990692,0.02867441446190051,0.1633333365122477,0.02624669311523406,-560.235754330953,33.29369286007325,-430.76348368326825,26.459441854436314,285.38133748372394,10.526920636494955,65.0
TwoRoom,0.03,3,1.0,95.111111,0.5733333230018616,0.023570203561232378,0.09333333497246106,0.041899352919816564,-334.8745873769124,39.918561637837094,-208.93089294433594,36.04747455844784,173.0953572591146,11.316127141316732,65.0
TwoRoom,0.04,3,1.0,95.88888888888889,0.6366666555404663,0.036817883512192784,0.06666666641831398,0.004714045980602539,-269.51094881693524,63.44121117275085,-156.74866739908853,55.4974109558663,138.07227579752603,6.633602778116862,65.0
TwoRoom,0.05,3,1.0,95.88888877777778,0.6833333373069763,0.0659966181392779,0.0566666666418314,0.018856181288232125,-277.0643286705017,113.8197391853056,-175.83968607584634,101.7296981880917,143.97191111246744,10.879493554433187,65.0
TwoRoom,0.06,3,1.0,95.77777777777777,0.7066666682561239,0.023570231659131385,0.02666666607062022,0.004714045102543195,-196.81075191497803,105.52555739540882,-90.34519449869792,101.36114564525143,102.6063232421875,8.401894569396973,65.0
TwoRoom,0.07,3,1.0,96.44444455555556,0.7400000095367432,0.01632991604511815,0.0466666662444671,0.01699673218442385,-144.81853421529135,37.343028879701805,-44.50973002115885,29.238897676602527,76.08662033081055,7.354706446329753,65.0
TwoRoom,0.08,3,1.0,97.11111088888889,0.7266666491826376,0.030912060023394586,0.033333332588275276,0.004714045102543195,-178.96318085988364,44.2060795555437,-87.53024800618489,37.94069890563777,94.36395517985027,9.764729499816895,65.0
PushT,0.00,3,0.0,7.222222111111111,0.006666666517655055,0.00942809020508639,0.9233333269755045,0.02867441330708837,-917.3826920191447,44.312418379323304,-804.6842753092448,60.93214538314771,462.29176839192706,7.200844764709473,65.0
PushT,0.01,3,0.0,37.888888888888886,0.14666666587193808,0.02624669311523406,0.4533333381017049,0.10370900806101849,-795.5383534431458,59.76397310088871,-678.5459213256836,71.18310827644545,401.86793009440106,8.197506745656332,65.0
PushT,0.02,3,0.3333333333333333,62.66666655555556,0.339999998609225,0.07874007492998673,0.21666666865348816,0.06798692630239703,-538.4797271092733,84.20776183042618,-417.33309682210285,95.7276175533118,273.9034372965495,9.327147483825684,65.0
