task,training_seed,rho,anchor_id,pool_id,K,clean_margin,max_cost_drift,pool_cert_gap,cert_pass_pool,top1_agree,observed_top1_flip,cost_drift_q50,cost_drift_q90,cost_drift_q95,cost_drift_q99,proxy_gap_q50q90,data_level,notes
TwoRoom,3074,0.01,summary_only,summary_level_fixed_pool_summary,65.0,94.97401428222656,,,,0.5200000107288361,0.47999998927116394,12.944076538085938,91.3774642944336,,,-87.78091430664062,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.02,summary_only,summary_level_fixed_pool_summary,65.0,99.27850341796875,,,,0.7400000095367432,0.25999999046325684,5.336151123046875,36.14827346801758,,,26.981956481933594,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.03,summary_only,summary_level_fixed_pool_summary,65.0,100.48503875732422,,,,0.8599999994039536,0.14000000059604645,2.4445648193359375,15.180124282836914,,,70.12479019165039,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.04,summary_only,summary_level_fixed_pool_summary,65.0,88.14802551269531,,,,0.9299999997019768,0.07000000029802322,1.67193603515625,12.446866035461426,,,63.25429344177246,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.05,summary_only,summary_level_fixed_pool_summary,65.0,89.34721374511719,,,,0.9400000013411045,0.05999999865889549,1.5979766845703125,9.298524856567383,,,70.75016403198242,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.06,summary_only,summary_level_fixed_pool_summary,65.0,91.50627136230469,,,,0.9499999992549419,0.05000000074505806,1.28045654296875,8.198493957519531,,,75.10928344726562,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.07,summary_only,summary_level_fixed_pool_summary,65.0,76.06448364257812,,,,0.9299999997019768,0.07000000029802322,0.994598388671875,6.203704833984375,,,63.657073974609375,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
TwoRoom,3074,0.08,summary_only,summary_level_fixed_pool_summary,65.0,61.82807159423828,,,,0.9700000006705523,0.029999999329447746,0.8929300308227539,5.749255180358887,,,50.32956123352051,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
PushT,3072,0.00,summary_only,summary_level_fixed_pool_summary,65.0,133.72613525390625,,,,0.019999980926513672,0.9800000190734863,56.64509582519531,153.6573028564453,,,-173.58847045898438,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
PushT,3072,0.01,summary_only,summary_level_fixed_pool_summary,65.0,142.4405517578125,,,,0.6800000071525574,0.3199999928474426,17.052108764648438,60.075679779052734,,,22.28919219970703,aggregate_summary_level,sample-level max-cost-drift traces are unavailable; cert_pass_pool unavailable
