task,base_cert_pass_mean,base_cert_pass_pstdev,endpoint_cert_pass_mean,endpoint_cert_pass_pstdev,base_top1_flip_mean,base_top1_flip_pstdev,endpoint_top1_flip_mean,endpoint_top1_flip_pstdev,base_gap_q10_q95_mean,base_gap_q10_q95_pstdev,endpoint_gap_q10_q95_mean,endpoint_gap_q10_q95_pstdev,base_gap_q50_q95_mean,base_gap_q50_q95_pstdev,endpoint_gap_q50_q95_mean,endpoint_gap_q50_q95_pstdev,n_training_seeds,n_sequences_per_seed,candidate_count
TwoRoom,0.05333333338300387,0.004714044224483851,0.7266666491826376,0.030912060023394586,0.8033333222071329,0.02494438533969661,0.033333332588275276,0.004714045102543195,-1084.6281830469768,43.98275574936017,-178.96318085988364,44.2060795555437,-975.8979034423828,38.9068966815765,-87.53024800618489,37.94069890563777,3,100,65
PushT,0.006666666517655055,0.00942809020508639,0.7433333396911621,0.041096102506589065,0.9233333269755045,0.02867441330708837,0.029999999950329464,0.01632993201397381,-917.3826920191447,44.312418379323304,-126.17935307820638,13.451019471434007,-804.6842753092448,60.93214538314771,-3.4843419392903647,13.877943941916051,3,100,65
Reacher,0.0033333332588275275,0.004714045102543195,0.6066666642824808,0.012472205944860338,0.8799999952316284,0.032659880757224966,0.01333333303531011,0.004714045102543195,-935.218993028005,32.097269567060515,-24.707752148310345,2.2950921769184607,-921.7754748662313,31.42472563050585,-8.935172398885092,0.9013939488406664,3,100,65
Cube,0.0033333332588275275,0.004714045102543195,0.8300000031789144,0.014142150234638435,0.9233333269755045,0.026246685545445608,0.0033333332588275275,0.004714045102543195,-1005.3050858179728,13.91944011110951,-31.271353721618652,7.739189941785146,-947.3762944539388,16.286356506229808,16.28556950887044,5.760956468115516,3,100,65
