split,fragile_n,robust_n,fragile_atr_rel_median,robust_atr_rel_median,atr_rel_median_gap,robust_atr_q75_below_fragile_q25,fragile_smpr_median,robust_smpr_median,smpr_median_gap,robust_smpr_q25_above_fragile_q75
calibration,5,25,1.0,0.09814037343669979,0.9018596265633002,1,0.4899999797344208,1.0,0.5100000202655792,1
heldout,8,51,1.0,0.08666369301340819,0.9133363069865919,1,0.4349999874830246,0.9999999403953552,0.5649999529123306,1
all,13,76,1.0,0.08687072782674599,0.913129272173254,1,0.44999998807907104,0.9999999701976776,0.5499999821186066,1
