split,regime,n,recovery_q25,recovery_q50,recovery_q75,atr_rel_q25,atr_rel_q50,atr_rel_q75,smpr_q25,smpr_q50,smpr_q75
calibration,fragile,5,0.0,0.0,0.0,1.0,1.0,1.0,0.4285714328289032,0.4899999797344208,0.7699999809265137
calibration,transition,6,0.549920029527559,0.5842150590551181,0.6796875000000001,0.01845381276815805,0.03055998683031838,0.4693102541614581,0.9464285522699356,1.0,1.0
calibration,robust,25,0.9173228346456693,0.958333333333333,0.9791666666666665,0.05979863894611698,0.09814037343669979,0.16181501580760188,0.9836065173149109,1.0,1.0
heldout,fragile,8,0.0,0.0,0.0,1.0,1.0,1.0,0.38114752620458603,0.4349999874830246,0.6647959053516388
heldout,transition,13,0.34722222222222227,0.44670050707310166,0.7113402135189714,0.6396701112043168,0.7447184756619218,0.8343447825120545,0.8469387292861938,0.9099999666213989,0.949999988079071
heldout,robust,51,0.9266881565460858,0.9536082469444149,0.9861111111111112,0.05563842405982211,0.08666369301340819,0.13511366212972528,0.9898979365825653,0.9999999403953552,1.0
all,fragile,13,0.0,0.0,0.0,1.0,1.0,1.0,0.4098360538482666,0.44999998807907104,0.699999988079071
all,transition,19,0.37954544610795476,0.546875,0.7072326067594857,0.28801532497307336,0.6415883209822205,0.8234962729118293,0.8899999856948853,0.9285714030265808,0.9848979413509369
all,robust,76,0.9220271900404791,0.955970790138874,0.9848675307788946,0.057639354030013266,0.08687072782674599,0.14937408258897344,0.9882485717535019,0.9999999701976776,1.0
