acpc_gap_mean,acpc_gap_q90,acpc_gap_q95,amp_B_mean,amp_B_median,amp_B_q75,amp_B_q90,amp_B_q95,amp_B_q99,amp_P_mean,amp_P_median,amp_P_q75,amp_P_q90,amp_P_q95,amp_P_q99,amp_R_mean,amp_R_median,amp_R_q75,amp_R_q90,amp_R_q95,amp_R_q99,amp_total_mean,amp_total_median,amp_total_q75,amp_total_q90,amp_total_q95,amp_total_q99,candidate_count,candidate_margin_clean_q10,candidate_margin_clean_q50,candidate_rank_metrics_computed,candidate_rank_spearman,candidate_rank_spearman_median,candidate_top1_flip_rate,candidate_topk,candidate_topk_overlap_rate,clean_false_positive_rate,closer_to_wrong_than_pair_rate,corruption,coverage_decision,decision_reason,delta_norm_mean,delta_norm_median,delta_norm_q75,delta_norm_q90,delta_norm_q95,delta_norm_q99,effective_rank,feature_space,is_t_start_separable_from_clean,lambda_max_over_trace,paired_clean_rank_median,paired_clean_rank_q90,ratio_to_knn_mean,ratio_to_knn_median,ratio_to_knn_q75,ratio_to_knn_q90,ratio_to_knn_q95,ratio_to_knn_q99,recommended_next_action,same_label_topk_rate,state_proxy_missing,t_star_acpc_median,t_star_acpc_q90,t_star_acpc_q95,t_star_radius_median,t_star_radius_q90,t_star_radius_q95,task_alignment_mean,task_alignment_q90,task_alignment_q95,top1_eigen_ratio,top5_eigen_ratio,v2_decision,wrong_label_nn_rate,wrong_label_rate_at_t_star
0.00011530217307154089,0.00024155971186701208,0.0003256574855186045,0.5675067901611328,0.5539553165435791,0.6239778399467468,0.7030180096626282,0.7788811326026917,0.842801570892334,0.9054123759269714,0.9075532555580139,0.9952448606491089,1.0596030950546265,1.0982089042663574,1.160879373550415,1.0672318935394287,1.0934330224990845,1.2171061038970947,1.2985889911651611,1.3529189825057983,1.4290488958358765,0.5637405514717102,0.542080819606781,0.7008607387542725,0.8538782000541687,0.9239122867584229,1.10063636302948,17.0,4.725355625152588,42.32722473144531,True,0.9993491172790527,1.0000001192092896,0.0,5.0,0.995312511920929,0.0,0.0026041667442768812,gaussian_std0.03,high,t grid is locally separable with low crossing,0.2376255989074707,0.22782856225967407,0.2716860771179199,0.3144068121910095,0.33353710174560547,0.40601369738578796,48.63276290893555,encoder_feat,True,0.14224456250667572,1.0,1.0,0.043814823031425476,0.03905392438173294,0.05188465490937233,0.0691782683134079,0.07631465047597885,0.11596918851137161,stage_d_oracle_t_upper_bound,0.2994791865348816,0.0,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.4391365945339203,0.6017589569091797,0.6422562003135681,0.14224456250667572,0.42251431941986084,t_conditioned_fm_candidate,0.0026041667442768812,0.0
0.0003317777009215206,0.0007374746492132545,0.0010819215094670653,0.5524787902832031,0.5481582283973694,0.608738124370575,0.6954962015151978,0.7283581495285034,0.8393542170524597,0.8854791522026062,0.879287600517273,0.97634357213974,1.0439047813415527,1.0898009538650513,1.1914784908294678,1.0552359819412231,1.0786937475204468,1.2097116708755493,1.3092447519302368,1.3658086061477661,1.4557907581329346,0.5345891714096069,0.5064811110496521,0.6542273759841919,0.8248294591903687,0.9707885980606079,1.144243836402893,17.0,2.983133554458618,32.4376220703125,True,0.9987363815307617,1.0000001192092896,0.0,5.0,0.9984375238418579,0.0,0.0,gaussian_std0.05,high,coverage is plausible but needs paired-source validation,0.407059907913208,0.39547181129455566,0.45671141147613525,0.5252100825309753,0.5770246982574463,0.6734349131584167,51.564781188964844,encoder_feat,False,0.12874796986579895,1.0,1.0,0.07433312386274338,0.06735029816627502,0.08808764815330505,0.1169453039765358,0.13207271695137024,0.18399260938167572,paired_source_or_small_offline_ablation,0.2994791865348816,0.0,0.4000000059604645,0.6000000238418579,0.800000011920929,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.44112032651901245,0.6174392104148865,0.6589825749397278,0.12874796986579895,0.40562665462493896,pixel_paired_source_candidate,0.0,0.0
0.0009251245064660907,0.00198776344768703,0.0026225040201097727,0.557284951210022,0.5416423678398132,0.6148470044136047,0.6840029358863831,0.7178213000297546,0.9214860200881958,0.8664556741714478,0.8632086515426636,0.9498006105422974,1.0307939052581787,1.0844424962997437,1.118012547492981,1.0584783554077148,1.0636616945266724,1.2112772464752197,1.2974897623062134,1.3515150547027588,1.4579241275787354,0.5268737077713013,0.4852829575538635,0.6504932045936584,0.8275960087776184,0.906426727771759,1.0757273435592651,17.0,3.349989414215088,31.615928649902344,True,0.9972426891326904,0.9975491166114807,0.0078125,5.0,0.979687511920929,0.0,0.0026041667442768812,gaussian_std0.08,medium,coverage is plausible but needs paired-source validation,0.7044304609298706,0.6773301362991333,0.7876318097114563,0.9174193143844604,1.0322669744491577,1.119251012802124,48.14708709716797,encoder_feat,False,0.1348278671503067,1.0,1.0,0.12902206182479858,0.11811545491218567,0.1528412401676178,0.19895794987678528,0.2451096773147583,0.32186952233314514,paired_source_or_small_offline_ablation,0.30000001192092896,0.0,0.6000000238418579,1.0,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,0.4459613561630249,0.6058206558227539,0.6528896689414978,0.1348278671503067,0.42006048560142517,pixel_paired_source_candidate,0.0026041667442768812,0.0
0.04877793788909912,0.11260231584310532,0.1386311650276184,0.5975600481033325,0.5865174531936646,0.6499933004379272,0.719389796257019,0.7737029194831848,0.8625237345695496,0.9848961234092712,0.9871037006378174,1.050153374671936,1.0959888696670532,1.1286392211914062,1.1983336210250854,0.9035083651542664,0.8959732055664062,1.051336407661438,1.1950020790100098,1.2482866048812866,1.3249578475952148,0.5431302785873413,0.5114989280700684,0.6641749143600464,0.8058198094367981,0.879623532295227,1.1103087663650513,17.0,3.5540082454681396,27.411235809326172,True,0.9792433977127075,0.9852941632270813,0.1484375,5.0,0.9437499642372131,0.0,0.2135416716337204,blur_ks15,no_go,coverage/crossing gate failed,5.0993523597717285,5.156674385070801,6.302576541900635,7.142885208129883,7.664083957672119,8.128473281860352,13.766973495483398,encoder_feat,False,0.29718515276908875,1.0,2.0,0.9164139628410339,0.8382099866867065,1.1155455112457275,1.4166897535324097,1.653111457824707,2.0813698768615723,do_not_train,0.29479166865348816,0.0,nan,nan,nan,1.0,1.0,1.0,0.5245351791381836,0.6677588820457458,0.6947659850120544,0.29718515276908875,0.6976038217544556,no_go,0.2109375,0.0026041667442768812
0.015243731439113617,0.033689726144075394,0.042711179703474045,0.5619611740112305,0.5524767637252808,0.6089900732040405,0.666448175907135,0.7186196446418762,0.8258770704269409,0.9966432452201843,0.9965680241584778,1.0605783462524414,1.1166096925735474,1.1560249328613281,1.223328948020935,0.9288275241851807,0.9184216260910034,1.0909500122070312,1.2224169969558716,1.2751961946487427,1.3608527183532715,0.5293819904327393,0.49726176261901855,0.6597155332565308,0.7842766642570496,0.8871985673904419,0.9695513248443604,17.0,6.663797378540039,38.79729461669922,True,0.9890473484992981,0.9950981140136719,0.015625,5.0,0.9593750238418579,0.0,0.09375,resize_factor0.25,no_go,coverage/crossing gate failed,2.9327335357666016,2.8493878841400146,3.6411263942718506,4.2493391036987305,4.513601779937744,5.08090353012085,15.94940185546875,encoder_feat,False,0.2577303647994995,1.0,2.0,0.5272320508956909,0.49119389057159424,0.6648048162460327,0.8473204374313354,0.9427776336669922,1.1672766208648682,do_not_train,0.30000001192092896,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4952067732810974,0.6436547040939331,0.6994500160217285,0.2577303647994995,0.6790125370025635,no_go,0.0885416716337204,0.0026041667442768812
0.00011530217307154089,0.00024155971186701208,0.0003256574855186045,0.5675067901611328,0.5539553165435791,0.6239778399467468,0.7030180096626282,0.7788811326026917,0.842801570892334,0.9054123759269714,0.9075532555580139,0.9952448606491089,1.0596030950546265,1.0982089042663574,1.160879373550415,1.0672318935394287,1.0934330224990845,1.2171061038970947,1.2985889911651611,1.3529189825057983,1.4290488958358765,0.5637405514717102,0.542080819606781,0.7008607387542725,0.8538782000541687,0.9239122867584229,1.10063636302948,17.0,4.725355625152588,42.32722473144531,True,0.9993491172790527,1.0000001192092896,0.0,5.0,0.995312511920929,0.0,0.0026041667442768812,gaussian_std0.03,high,t grid is locally separable with low crossing,0.21834230422973633,0.20908819139003754,0.2638620138168335,0.3071482479572296,0.33879950642585754,0.42730504274368286,47.90647888183594,emb,True,0.08778664469718933,1.0,1.0,0.03273976594209671,0.029160499572753906,0.039506349712610245,0.05558469519019127,0.06045815721154213,0.09384270012378693,stage_d_oracle_t_upper_bound,0.29895836114883423,0.0,0.20000000298023224,0.4000000059604645,0.4000000059604645,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.5057345032691956,0.7043654918670654,0.7733850479125977,0.08778664469718933,0.27691200375556946,t_conditioned_fm_candidate,0.0026041667442768812,0.0
0.0003317777009215206,0.0007374746492132545,0.0010819215094670653,0.5524787902832031,0.5481582283973694,0.608738124370575,0.6954962015151978,0.7283581495285034,0.8393542170524597,0.8854791522026062,0.879287600517273,0.97634357213974,1.0439047813415527,1.0898009538650513,1.1914784908294678,1.0552359819412231,1.0786937475204468,1.2097116708755493,1.3092447519302368,1.3658086061477661,1.4557907581329346,0.5345891714096069,0.5064811110496521,0.6542273759841919,0.8248294591903687,0.9707885980606079,1.144243836402893,17.0,2.983133554458618,32.4376220703125,True,0.9987363815307617,1.0000001192092896,0.0,5.0,0.9984375238418579,0.0,0.0,gaussian_std0.05,high,coverage is plausible but needs paired-source validation,0.3660982549190521,0.3462773561477661,0.4314535856246948,0.5170321464538574,0.5789963603019714,0.7255445122718811,48.63002395629883,emb,False,0.0850694328546524,1.0,1.0,0.05446081608533859,0.04837232083082199,0.06559570878744125,0.09069284051656723,0.10287041962146759,0.14079871773719788,paired_source_or_small_offline_ablation,0.2994791865348816,0.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,0.20000000298023224,0.4000000059604645,0.4000000059604645,0.5170062780380249,0.7319298386573792,0.7949587106704712,0.0850694328546524,0.26459869742393494,pixel_paired_source_candidate,0.0,0.0
0.0009251245064660907,0.00198776344768703,0.0026225040201097727,0.557284951210022,0.5416423678398132,0.6148470044136047,0.6840029358863831,0.7178213000297546,0.9214860200881958,0.8664556741714478,0.8632086515426636,0.9498006105422974,1.0307939052581787,1.0844424962997437,1.118012547492981,1.0584783554077148,1.0636616945266724,1.2112772464752197,1.2974897623062134,1.3515150547027588,1.4579241275787354,0.5268737077713013,0.4852829575538635,0.6504932045936584,0.8275960087776184,0.906426727771759,1.0757273435592651,17.0,3.349989414215088,31.615928649902344,True,0.9972426891326904,0.9975491166114807,0.0078125,5.0,0.979687511920929,0.0,0.0026041667442768812,gaussian_std0.08,medium,coverage is plausible but needs paired-source validation,0.6204049587249756,0.5773997902870178,0.7514345645904541,0.8770731687545776,1.0046418905258179,1.208093523979187,47.489437103271484,emb,False,0.09617482125759125,1.0,1.0,0.09264305233955383,0.08247451484203339,0.10815146565437317,0.14769673347473145,0.184803307056427,0.24617867171764374,paired_source_or_small_offline_ablation,0.3005208373069763,0.0,0.4000000059604645,0.800000011920929,1.0,0.4000000059604645,0.6000000238418579,0.6000000238418579,0.5312674045562744,0.7116779685020447,0.7839778065681458,0.09617482125759125,0.28413528203964233,pixel_paired_source_candidate,0.0026041667442768812,0.0026041667442768812
0.04877793788909912,0.11260231584310532,0.1386311650276184,0.5975600481033325,0.5865174531936646,0.6499933004379272,0.719389796257019,0.7737029194831848,0.8625237345695496,0.9848961234092712,0.9871037006378174,1.050153374671936,1.0959888696670532,1.1286392211914062,1.1983336210250854,0.9035083651542664,0.8959732055664062,1.051336407661438,1.1950020790100098,1.2482866048812866,1.3249578475952148,0.5431302785873413,0.5114989280700684,0.6641749143600464,0.8058198094367981,0.879623532295227,1.1103087663650513,17.0,3.5540082454681396,27.411235809326172,True,0.9792433977127075,0.9852941632270813,0.1484375,5.0,0.9437499642372131,0.0,0.2473958432674408,blur_ks15,no_go,coverage/crossing gate failed,4.9917683601379395,5.029494285583496,6.1357502937316895,6.950395584106445,7.433576583862305,8.444656372070312,35.43449401855469,emb,False,0.096182681620121,1.0,2.0,0.7273138761520386,0.6739857196807861,0.8758351802825928,1.084592342376709,1.3052895069122314,1.838903546333313,do_not_train,0.2953125238418579,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6210540533065796,0.7564379572868347,0.7837478518486023,0.096182681620121,0.3392235338687897,no_go,0.2395833432674408,0.0
0.015243731439113617,0.033689726144075394,0.042711179703474045,0.5619611740112305,0.5524767637252808,0.6089900732040405,0.666448175907135,0.7186196446418762,0.8258770704269409,0.9966432452201843,0.9965680241584778,1.0605783462524414,1.1166096925735474,1.1560249328613281,1.223328948020935,0.9288275241851807,0.9184216260910034,1.0909500122070312,1.2224169969558716,1.2751961946487427,1.3608527183532715,0.5293819904327393,0.49726176261901855,0.6597155332565308,0.7842766642570496,0.8871985673904419,0.9695513248443604,17.0,6.663797378540039,38.79729461669922,True,0.9890473484992981,0.9950981140136719,0.015625,5.0,0.9593750238418579,0.0,0.078125,resize_factor0.25,no_go,coverage/crossing gate failed,2.9142661094665527,2.7974390983581543,3.527053117752075,4.160533428192139,4.743630886077881,5.523998737335205,34.46803665161133,emb,False,0.11024387925863266,1.0,1.0,0.4253079295158386,0.39345914125442505,0.5153995156288147,0.6711957454681396,0.7829509973526001,1.0038646459579468,do_not_train,0.30000001192092896,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5588065981864929,0.6989599466323853,0.7524802684783936,0.11024387925863266,0.37703898549079895,no_go,0.078125,0.0
